dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,k,sigma,precision,recall,storage,preparationTime,predictionTime
oozie,685.0,251.0,171.0,63.0,7,0.5,0.999031007751938,1.0,7343155,0.3423730599999847,0.0007190789031338835
oryx,10.0,298.0,3.0,74.0,7,0.5,0.5705128205128205,0.2888888888888889,2037655,0.08781103666667793,0.0006012217748918307
spring-boot,11.0,5445.0,3.0,1362.0,7,0.5,1.0,0.5222222222222223,53504159,1.5079785889894184,0.0009126467260151008
togglz,9.0,309.0,2.0,78.0,7,0.5,0.0,0.0,2119187,0.076347168525969,0.0005567795184255461
wro4j,8.0,802.0,2.0,201.0,7,0.5,0.0,0.0,6228159,0.23451495241855375,0.0006420760964602993
achilles,54.0,6.0,13.0,2.0,7,0.95,1.0,1.0,287933,0.02490742999997148,0.0007567353333330277
alluxio-tachyon,3.0,2189.0,1.0,548.0,7,0.95,-,0.0,19285911,0.6699079569378662,0.0007367816874234494
ambari,3.0,6.0,1.0,2.0,7,0.95,-,0.0,26765,0.008703628333348472,0.001428500555555464
hadoop,244.0,2387.0,61.0,597.0,7,0.95,0.9722746898906373,0.4065573770491804,23667879,0.9558953856582543,0.0008148384919074117
jackrabbit-oak,6.0,7372.0,2.0,1843.0,7,0.95,0.0,0.0,74854103,2.0983399606509003,0.001028790769294894
jimfs,6.0,358.0,1.0,90.0,7,0.95,1.0,0.5666666666666667,2477255,0.10411971333332223,0.0006052943589743179
ninja,14.0,750.0,4.0,187.0,7,0.95,-,0.0,5825735,0.2070777166667104,0.0006125096858639539
okhttp,53.0,1185.0,13.0,297.0,7,0.95,1.0,0.1538461538461538,10111771,0.35050859832039233,0.0006528279193965037
oozie,685.0,251.0,171.0,63.0,7,0.95,1.0,0.9732943469785572,7343155,0.36743352333331036,0.000766578190883177
oryx,10.0,298.0,3.0,74.0,7,0.95,-,0.0,2037655,0.10235647333331216,0.0006443906926405918
spring-boot,11.0,5445.0,3.0,1362.0,7,0.95,-,0.0,53504159,1.515688813756497,0.0009106667274066849
